,0,1,2,3,4,5,6,7,8,9,10
19.06.20_travels_Berlin.csv,23196.0,19699.0,3497.0,6468.0,5593.0,875.0,282.0,249.0,33.0,11224.0,1.7353123067408782
19.06.20_travels_Bremen.csv,8417.0,4618.0,3799.0,2489.0,1509.0,980.0,133.0,89.0,44.0,6900.0,2.772197669746886
19.06.20_travels_Dresden.csv,15191.0,7940.0,7251.0,4031.0,2609.0,1422.0,115.0,88.0,27.0,7270.0,1.8035226990821136
19.06.20_travels_Frankfurt.csv,21824.0,18696.0,3128.0,6230.0,5659.0,571.0,265.0,248.0,17.0,49332.0,7.918459069020867
19.06.20_travels_Hamburg.csv,19242.0,16176.0,3066.0,5581.0,4882.0,699.0,239.0,175.0,64.0,18520.0,3.318401720121842
19.06.20_travels_Hannover.csv,12858.0,8967.0,3891.0,3654.0,2750.0,904.0,216.0,157.0,59.0,20516.0,5.614668856048167
19.06.20_travels_Koeln.csv,16241.0,12956.0,3285.0,6475.0,5351.0,1124.0,426.0,386.0,40.0,20082.0,3.1014671814671813
19.06.20_travels_Mainz.csv,12071.0,6155.0,5916.0,3021.0,2008.0,1013.0,169.0,135.0,34.0,5113.0,1.6924859318106587
19.06.20_travels_Muenchen.csv,25786.0,22368.0,3418.0,7582.0,6776.0,806.0,281.0,244.0,37.0,14004.0,1.8470060670007913
19.06.20_travels_Stuttgart.csv,17192.0,13417.0,3775.0,4597.0,3873.0,724.0,234.0,194.0,40.0,23960.0,5.212094844463781
