,Berlin%238011160,Hannover%238000152,Stuttgart%238098096,Bremen%238000050,Hamburg%238002549,Mainz%238000240,Muenchen%238000261,Frankfurt%238000105,Koeln%238000207,Dresden%238010085
Berlin%238011160,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hannover%238000152,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Stuttgart%238098096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bremen%238000050,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hamburg%238002549,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mainz%238000240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muenchen%238000261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frankfurt%238000105,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0
Koeln%238000207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dresden%238010085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
